"country","onPremiseAge","offPremiseAge","note","pop2021"
"Nauru","21","21","No info provided by WHO; other sources list 21 as the drinking age.","10.8760"
"Palau","21","21","","18.1690"
"Micronesia","21","21","","116.2540"
"Kiribati","21","21","","121.3920"
"Samoa","21","21","No info provided by WHO; other sources list 21","200.1490"
"Equatorial Guinea","21","21","","1449.8960"
"Mongolia","21","21","","3329.2890"
"Central African Republic","21","15","","4919.9810"
"Oman","21","21","","5223.3750"
"Sri Lanka","21","21","","21497.3100"
"Ivory Coast","21","21","","27053.6290"
"Iraq","21","21","Sources say only Iraqi Christians are permitted to sell alcohol; alcohol sales were banned entirely from 2006-08.","41179.3500"
"United States","21","21","","332915.0730"
"Iceland","20","20","","343.3530"
"Paraguay","20","20","","7219.6380"
"Uzbekistan","20","20","","33935.7630"
"Thailand","20","20","","69950.8500"
"Japan","20","20","","126050.8040"
"South Korea","19","19","","51305.1860"
"Vatican City","18","18","No info provided by WHO; other sources say 18.","0.8000"
"Tuvalu","18","18","","11.9310"
"Monaco","18","18","","39.5110"
"Saint Kitts and Nevis","18","18","","53.5440"
"Andorra","18","18","","77.3550"
"Seychelles","18","18","","98.9080"
"Tonga","18","18","","106.7600"
"Barbados","18","18","Sources say children ages 10-17 may drink in the presence of a parent or guardian.","287.7110"
"Vanuatu","18","18","No info provided by WHO; other sources say 18.","314.4640"
"Bahamas","18","18","","396.9130"
"Belize","18","18","","404.9140"
"Cape Verde","18","18","","561.8980"
"Suriname","18","18","","591.8000"
"Montenegro","18","18","","628.0530"
"Bhutan","18","18","","779.8980"
"Guyana","18","16","","790.3260"
"Comoros","18","18","","888.4510"
"Fiji","18","18","","902.9060"
"Eswatini","18","18","","1172.3620"
"Mauritius","18","18","","1273.4330"
"Estonia","18","18","","1325.1850"
"Trinidad and Tobago","18","18","","1403.3750"
"Latvia","18","18","","1866.9420"
"Slovenia","18","18","","2078.7240"
"Lesotho","18","18","","2159.0790"
"Gabon","18","0","","2278.8250"
"Botswana","18","18","","2397.2410"
"Gambia","18","18","","2486.9450"
"Namibia","18","18","","2587.3440"
"Lithuania","18","18","","2689.8620"
"Albania","18","18","","2872.9330"
"Armenia","18","18","","2968.1270"
"Jamaica","18","18","","2973.4630"
"Bosnia and Herzegovina","18","18","","3263.4660"
"Uruguay","18","18","","3485.1510"
